50M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;8.82  ;;19;ARCEO GONZALEZ, CARLA (03);2003;ESCLU;14/3/26;Ourense
;;;;;;;;
60M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;7.61  ;;1;GARRIDO CABELLO, CRISTINA (01);2001;SGPPO;24/1/26;Ourense
2;7.70  ;;1;BECERRIL ALVAREZ, OLAIA GISELA (01);2001;AMARA;10/1/26;Ourense
3;7.80  ;;6;IGLESIAS CHAVEZ, NAYELI (02);2002;OUROR;14/2/26;Ourense
4;7.96  ;;11;CREGO PEREZ, SOFIA (02);2002;OUROR;14/2/26;Ourense
5;7.98  ;;4;PAIS RODRIGUEZ, ANDREA (99);1999;ALCM;10/1/26;Ourense
6;8.02  ;;2;MERINO PEREZ, ALICIA (93);1993;RIAC;21/2/26;Ourense
7;8.29  ;;3;SALVADO PRIETO, EVA (97);1997;RIAC;3/1/26;Ourense
8;8.60  ;;2;BURES SOBRADO, MARTA (01);2001;SGPPO;11/1/26;Ourense
9;8.62  ;;33;ATANES BLANCO, TANIA (96);1996;OUROR;31/1/26;Ourense
10;8.81  ;;17;CARRAGAL MALLO, LARA (97);1997;SGPPO;11/1/26;Ourense
11;9.68  ;;18;REYES GONZáLEZ, THALíA (01);2001;BAIPO;27/2/26;Vigo
12;10.21  ;;1;ADAME ÁLVAREZ, ANA CRISTINA (03);2003;AVAPO;21/2/26;Ourense
;;;;;;;;
200M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;24.70  ;;1;OITAVEN PASCUAL, INES (98);1998;RIAC;14/2/26;Ourense
2;25.03  ;;3;IGLESIAS AMADO, ANA (00);2000;CAJJ;14/2/26;Ourense
3;25.69  ;;2;MUÑOZ ALONSO, AROA (97);1997;OUROR;31/1/26;Ourense
4;25.96  ;;10;PAIS RODRIGUEZ, ANDREA (99);1999;ALCM;14/2/26;Ourense
5;26.03  ;;5;CARIDE ARUFE, LIA (01);2001;SGPPO;31/1/26;Ourense
6;26.38  ;;13;LOPEZ FERNANDEZ, LARA (02);2002;SGPPO;14/2/26;Ourense
7;26.46  ;;7;MARTINEZ HUERGA, CAROLINA (98);1998;OUROR;31/1/26;Ourense
8;27.03  ;;2;SALVADO PRIETO, EVA (97);1997;RIAC;3/1/26;Ourense
9;28.47  ;;9;ATANES BLANCO, TANIA (96);1996;OUROR;21/2/26;Ourense
;;;;;;;;
400M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;54.72  ;;3;OITAVEN PASCUAL, INES (98);1998;RIAC;21/2/26;Ourense
2;57.01  ;;1;IGLESIAS GARNELO, PAULA (98);1998;RIAC;17/1/26;Ourense
